Service ID,Revenue (EUR),Gross Margin (EUR),Units Serviced,Service Category,Service Type,Contract Type
BST-12442,51998,11531,16,Mechanical Service,Line Inspection,Spot Order
BST-18938,1000,77,10,Mechanical Service,Drive Overhaul,EMI Finance
BST-10590,13212,-4284,6,Electrical & Automation,Sensor Calibration,Framework Agreement
BST-16049,15639,-651,13,Mechanical Service,Oven Maintenance,Warranty
BST-19543,12445,3632,13,Electrical & Automation,Control Panel Service,Spot Order
BST-19052,48918,-7994,2,Electrical & Automation,Drive Tuning,Framework Agreement
BST-12426,35024,-4334,9,Electrical & Automation,Drive Tuning,EMI Finance
BST-17041,13175,-3482,12,Mechanical Service,Roll Replacement,EMI Finance
BST-12088,30320,6173,13,Electrical & Automation,HMI Replacement,EMI Finance
BST-10685,62736,13972,8,Electrical & Automation,HMI Replacement,Warranty
BST-15050,52247,28880,2,Electrical & Automation,PLC Upgrade,EMI Finance
BST-15974,75405,24697,20,Process Optimization,Throughput Analysis,Spot Order
BST-10653,23159,13873,6,Mechanical Service,Oven Maintenance,Spot Order
BST-15862,6093,447,14,Mechanical Service,Roll Replacement,Spot Order
BST-13441,78494,-7230,3,Process Optimization,Line Balancing,Annual Contract
BST-14088,52582,10624,9,Electrical & Automation,HMI Replacement,EMI Finance
BST-11684,82165,19520,14,Electrical & Automation,PLC Upgrade,Annual Contract
BST-15794,19924,4315,19,Electrical & Automation,Sensor Calibration,Annual Contract
BST-19173,13737,5985,18,Mechanical Service,Frame Repair,Framework Agreement
BST-16658,50706,15454,19,Electrical & Automation,Control Panel Service,EMI Finance
BST-12532,23070,-1720,5,Electrical & Automation,PLC Upgrade,EMI Finance
BST-13878,5583,255,11,Process Optimization,Scrap Reduction,Spot Order
BST-12662,35703,19530,1,Mechanical Service,Oven Maintenance,Framework Agreement
BST-12900,37245,18356,4,Electrical & Automation,Control Panel Service,Spot Order
BST-16755,58579,24839,11,Mechanical Service,Drive Overhaul,Framework Agreement
BST-10406,79795,23583,7,Process Optimization,Scrap Reduction,Warranty
BST-12938,63999,26207,12,Mechanical Service,Oven Maintenance,Annual Contract
BST-15442,9100,-353,17,Process Optimization,Line Balancing,Warranty
BST-16745,75037,-24090,7,Mechanical Service,Frame Repair,Spot Order
BST-14065,4834,514,12,Mechanical Service,Roll Replacement,Spot Order
BST-14371,61346,9516,4,Electrical & Automation,Control Panel Service,Annual Contract
BST-12608,64566,15756,6,Mechanical Service,Drive Overhaul,Warranty
BST-11771,46343,-266,9,Process Optimization,Throughput Analysis,Annual Contract
BST-16267,51167,-15367,19,Electrical & Automation,PLC Upgrade,Spot Order
BST-10634,27596,-2232,14,Mechanical Service,Roll Replacement,EMI Finance
BST-17711,62640,35173,6,Mechanical Service,Line Inspection,EMI Finance
BST-13644,33581,8675,10,Mechanical Service,Roll Replacement,Framework Agreement
BST-13269,46206,5036,7,Electrical & Automation,Drive Tuning,Warranty
BST-17541,82237,3877,4,Electrical & Automation,HMI Replacement,Annual Contract
BST-15728,74091,22030,20,Process Optimization,Yield Improvement,Framework Agreement
BST-15000,63642,-18211,9,Electrical & Automation,PLC Upgrade,Framework Agreement
BST-13728,39663,-6411,17,Electrical & Automation,Control Panel Service,Spot Order
BST-13652,53465,16602,5,Mechanical Service,Frame Repair,Annual Contract
BST-10387,39245,-3554,14,Process Optimization,Scrap Reduction,Warranty
BST-13164,76918,27541,19,Electrical & Automation,PLC Upgrade,Spot Order
BST-16528,70575,20347,16,Electrical & Automation,Sensor Calibration,Framework Agreement
BST-15378,22780,11176,18,Process Optimization,Yield Improvement,Spot Order
BST-14564,62206,-13813,9,Electrical & Automation,PLC Upgrade,EMI Finance
BST-11137,12204,-1559,8,Mechanical Service,Drive Overhaul,Framework Agreement
BST-14573,49217,-4402,10,Electrical & Automation,Control Panel Service,Warranty
BST-15753,7535,3891,19,Mechanical Service,Oven Maintenance,EMI Finance
BST-18346,62394,33656,17,Process Optimization,OEE Consulting,Annual Contract
BST-16548,69946,-3612,2,Process Optimization,Scrap Reduction,Spot Order
BST-18785,45414,2688,19,Mechanical Service,Roll Replacement,Warranty
BST-15425,24139,10354,16,Mechanical Service,Drive Overhaul,Framework Agreement
BST-10452,41579,11829,1,Process Optimization,Line Balancing,Warranty
BST-11889,22599,5113,6,Electrical & Automation,Sensor Calibration,Warranty
BST-14279,81041,6784,14,Mechanical Service,Roll Replacement,Warranty
BST-12925,50742,-17522,18,Electrical & Automation,Drive Tuning,Spot Order
BST-19512,2345,1271,17,Process Optimization,Yield Improvement,Spot Order
BST-14349,82641,31701,8,Mechanical Service,Line Inspection,Framework Agreement
BST-10626,13962,468,19,Electrical & Automation,Sensor Calibration,Framework Agreement
BST-11776,6492,-336,10,Mechanical Service,Line Inspection,Warranty
BST-19774,78667,13697,14,Process Optimization,Throughput Analysis,Spot Order
BST-17119,47587,19040,6,Electrical & Automation,Drive Tuning,Warranty
BST-15663,29902,11278,5,Mechanical Service,Roll Replacement,Spot Order
BST-15139,77792,12029,4,Process Optimization,OEE Consulting,Framework Agreement
BST-17149,49677,26157,9,Process Optimization,OEE Consulting,EMI Finance
BST-19932,78346,50508,4,Process Optimization,OEE Consulting,Annual Contract
BST-18379,55127,5199,4,Mechanical Service,Line Inspection,EMI Finance
BST-11894,20570,-2972,1,Electrical & Automation,Drive Tuning,Framework Agreement
BST-16311,68697,-5497,20,Electrical & Automation,PLC Upgrade,Spot Order
BST-19446,67554,24911,4,Electrical & Automation,PLC Upgrade,Framework Agreement
BST-13114,65739,-9949,7,Mechanical Service,Line Inspection,Framework Agreement
BST-14173,47413,16757,10,Process Optimization,Line Balancing,Spot Order
BST-10727,65558,36735,16,Mechanical Service,Frame Repair,Framework Agreement
BST-17144,2171,698,4,Mechanical Service,Line Inspection,EMI Finance
BST-10027,20048,12017,17,Process Optimization,Scrap Reduction,Annual Contract
BST-18518,34040,10019,15,Process Optimization,OEE Consulting,Framework Agreement
BST-18821,7064,-1767,6,Electrical & Automation,Drive Tuning,Annual Contract
BST-13228,41487,3152,4,Electrical & Automation,Control Panel Service,Annual Contract
BST-15967,18639,5840,6,Mechanical Service,Line Inspection,Framework Agreement
BST-17066,82001,-6698,3,Electrical & Automation,Drive Tuning,Framework Agreement
BST-11146,15420,782,15,Electrical & Automation,Sensor Calibration,Framework Agreement
BST-15409,55778,16669,6,Electrical & Automation,Drive Tuning,Annual Contract
BST-15143,21392,-5268,19,Mechanical Service,Line Inspection,Warranty
BST-12041,24258,6339,12,Process Optimization,Scrap Reduction,EMI Finance
BST-14920,63818,36401,4,Mechanical Service,Roll Replacement,Warranty
BST-18308,8801,-777,11,Electrical & Automation,PLC Upgrade,Annual Contract
BST-15067,76082,28437,8,Process Optimization,Throughput Analysis,Framework Agreement
BST-16691,81533,-20771,8,Process Optimization,Throughput Analysis,Warranty
BST-15344,19984,9772,18,Electrical & Automation,Drive Tuning,EMI Finance
BST-16592,84831,49572,17,Mechanical Service,Line Inspection,Warranty
BST-14844,10312,4139,11,Electrical & Automation,Sensor Calibration,Spot Order
BST-19083,7099,1114,18,Electrical & Automation,Control Panel Service,Warranty
BST-12085,10832,1181,19,Electrical & Automation,Sensor Calibration,Warranty
BST-13143,59098,-2005,16,Mechanical Service,Oven Maintenance,Annual Contract
BST-16888,54546,-17136,18,Mechanical Service,Oven Maintenance,Annual Contract
BST-16211,81642,23475,17,Mechanical Service,Frame Repair,EMI Finance
BST-12851,45176,602,2,Mechanical Service,Oven Maintenance,Spot Order
BST-19324,73920,30855,20,Electrical & Automation,Control Panel Service,Warranty
BST-14930,59814,-14114,8,Process Optimization,Yield Improvement,Annual Contract
BST-16653,83555,51339,10,Electrical & Automation,Control Panel Service,EMI Finance
BST-18977,14435,-4391,6,Process Optimization,Yield Improvement,Warranty
BST-10006,14519,-1389,7,Mechanical Service,Oven Maintenance,Spot Order
BST-14978,28757,3078,7,Mechanical Service,Oven Maintenance,Framework Agreement
BST-14700,6594,3802,19,Mechanical Service,Oven Maintenance,Annual Contract
BST-13443,77742,47126,5,Electrical & Automation,Drive Tuning,Warranty
BST-17043,6866,1395,14,Mechanical Service,Frame Repair,EMI Finance
BST-19502,23726,8109,6,Electrical & Automation,HMI Replacement,Spot Order
BST-19939,79214,20291,11,Mechanical Service,Oven Maintenance,EMI Finance
BST-15279,80322,45455,8,Electrical & Automation,Drive Tuning,Framework Agreement
BST-17618,39057,4016,5,Electrical & Automation,Control Panel Service,Spot Order
BST-17238,67647,-3455,18,Electrical & Automation,HMI Replacement,Framework Agreement
BST-17244,83413,-11065,7,Process Optimization,Throughput Analysis,EMI Finance
BST-13501,45758,26136,5,Process Optimization,Yield Improvement,Spot Order
BST-18375,83976,-2319,4,Process Optimization,Throughput Analysis,Framework Agreement
BST-17752,76889,16964,14,Process Optimization,Scrap Reduction,EMI Finance
BST-12780,2173,375,1,Electrical & Automation,Drive Tuning,Warranty
BST-11389,7919,-1188,6,Mechanical Service,Line Inspection,Framework Agreement
BST-14649,19692,9636,10,Process Optimization,Yield Improvement,Spot Order
BST-18445,47513,22047,4,Process Optimization,OEE Consulting,EMI Finance
BST-15491,29900,11733,18,Process Optimization,Throughput Analysis,Warranty
BST-11530,38201,13100,2,Mechanical Service,Frame Repair,Warranty
BST-13848,41480,25544,2,Electrical & Automation,Drive Tuning,Annual Contract
BST-15085,27119,7337,15,Process Optimization,Yield Improvement,Spot Order
BST-13680,77620,15261,20,Process Optimization,Yield Improvement,Spot Order
BST-13262,39058,3859,3,Process Optimization,Line Balancing,Spot Order
BST-12414,16143,439,14,Mechanical Service,Frame Repair,Framework Agreement
BST-10400,17548,-3317,9,Process Optimization,Yield Improvement,Annual Contract
BST-10757,20790,-6446,11,Electrical & Automation,Drive Tuning,EMI Finance
BST-14011,39972,5618,19,Mechanical Service,Frame Repair,EMI Finance
BST-17784,42162,7395,6,Electrical & Automation,PLC Upgrade,EMI Finance
BST-11193,21389,1410,18,Mechanical Service,Frame Repair,Warranty
BST-17461,29492,15730,11,Mechanical Service,Drive Overhaul,Framework Agreement
BST-16790,29132,17488,20,Electrical & Automation,Control Panel Service,EMI Finance
BST-19431,1653,-388,12,Electrical & Automation,HMI Replacement,Warranty
BST-13185,81912,-8696,2,Mechanical Service,Frame Repair,Framework Agreement
BST-16291,51077,-4771,10,Electrical & Automation,PLC Upgrade,Annual Contract
BST-18099,67911,30751,15,Process Optimization,Yield Improvement,Warranty
BST-16547,25732,-763,3,Mechanical Service,Drive Overhaul,Annual Contract
BST-13997,70388,-24119,3,Mechanical Service,Frame Repair,Spot Order
BST-12417,56101,27246,7,Process Optimization,Line Balancing,EMI Finance
BST-10090,9952,3949,5,Process Optimization,Scrap Reduction,Annual Contract
BST-11746,5465,-1434,2,Electrical & Automation,Control Panel Service,Spot Order
BST-16965,9732,2189,8,Electrical & Automation,HMI Replacement,Framework Agreement
BST-13585,59629,16709,14,Electrical & Automation,Drive Tuning,Framework Agreement
BST-12881,16006,2958,20,Mechanical Service,Oven Maintenance,Annual Contract
BST-18486,6465,2268,3,Process Optimization,Throughput Analysis,Framework Agreement
BST-17611,38489,16815,10,Process Optimization,OEE Consulting,EMI Finance
BST-10822,57867,1817,1,Mechanical Service,Drive Overhaul,Warranty
BST-19132,29318,-6262,13,Mechanical Service,Frame Repair,EMI Finance
BST-14082,39566,12949,12,Electrical & Automation,Sensor Calibration,Annual Contract
BST-11988,19030,-4315,1,Process Optimization,Throughput Analysis,EMI Finance
BST-17478,70905,14005,3,Process Optimization,Scrap Reduction,Framework Agreement
BST-12184,28252,1770,17,Mechanical Service,Drive Overhaul,Spot Order
BST-17612,29439,7856,9,Mechanical Service,Roll Replacement,Spot Order
BST-18702,74856,37596,18,Mechanical Service,Roll Replacement,Warranty
BST-19157,10087,-598,3,Process Optimization,Throughput Analysis,Framework Agreement
BST-19755,76599,10508,11,Mechanical Service,Roll Replacement,Framework Agreement
BST-15198,13613,-882,3,Mechanical Service,Roll Replacement,Spot Order
BST-17251,59567,-1289,10,Electrical & Automation,Drive Tuning,EMI Finance
BST-18270,74799,1084,11,Mechanical Service,Frame Repair,Warranty
BST-16991,41553,-4314,8,Mechanical Service,Line Inspection,Warranty
BST-18976,18103,5966,11,Electrical & Automation,Control Panel Service,Warranty
BST-17305,47520,20184,16,Electrical & Automation,Drive Tuning,EMI Finance
BST-12607,80011,-21445,9,Mechanical Service,Roll Replacement,Spot Order
BST-17777,35002,13424,3,Process Optimization,Line Balancing,Annual Contract
BST-17373,83288,-26552,19,Mechanical Service,Frame Repair,EMI Finance
BST-14246,28386,15791,18,Electrical & Automation,HMI Replacement,Framework Agreement
BST-14050,62379,18957,5,Process Optimization,Throughput Analysis,Framework Agreement
BST-14543,77780,29807,10,Electrical & Automation,Sensor Calibration,Spot Order
BST-18540,67400,-17486,12,Electrical & Automation,HMI Replacement,EMI Finance
BST-17939,80982,27061,17,Mechanical Service,Roll Replacement,Spot Order
BST-13919,23980,5188,19,Electrical & Automation,Sensor Calibration,Spot Order
BST-14499,47528,-14713,16,Process Optimization,Scrap Reduction,Spot Order
BST-17206,48922,-5674,7,Mechanical Service,Drive Overhaul,EMI Finance
BST-11269,62061,35244,2,Electrical & Automation,Drive Tuning,Annual Contract
BST-14681,14029,4962,17,Process Optimization,Yield Improvement,Framework Agreement
BST-13841,76342,14837,6,Process Optimization,Yield Improvement,Warranty
BST-14451,48380,11498,3,Process Optimization,Scrap Reduction,EMI Finance
BST-15502,29715,4943,12,Electrical & Automation,Drive Tuning,Framework Agreement
BST-15238,79695,-27367,5,Electrical & Automation,Drive Tuning,Warranty
BST-18849,10604,1744,9,Mechanical Service,Roll Replacement,Spot Order
BST-11320,21125,258,4,Mechanical Service,Roll Replacement,Spot Order
BST-12267,15355,2019,16,Electrical & Automation,Control Panel Service,Warranty
BST-12471,21634,6430,14,Mechanical Service,Frame Repair,Annual Contract
BST-13788,17262,3857,6,Mechanical Service,Line Inspection,Spot Order
BST-16275,5636,3047,5,Process Optimization,Throughput Analysis,Annual Contract
BST-12503,24097,4015,13,Mechanical Service,Drive Overhaul,EMI Finance
BST-13505,37652,22487,7,Process Optimization,OEE Consulting,Warranty
BST-11052,63633,-11417,14,Process Optimization,Scrap Reduction,EMI Finance
BST-16797,24339,6649,17,Mechanical Service,Frame Repair,Framework Agreement
BST-16678,59937,14776,3,Mechanical Service,Drive Overhaul,Spot Order
BST-15421,17829,-4304,7,Electrical & Automation,Drive Tuning,EMI Finance
BST-18890,20103,5136,6,Process Optimization,Scrap Reduction,Warranty
BST-17633,5616,2963,18,Process Optimization,Throughput Analysis,EMI Finance
BST-16812,63708,19710,20,Mechanical Service,Line Inspection,EMI Finance
BST-11020,68925,4871,2,Mechanical Service,Oven Maintenance,EMI Finance
BST-13388,63692,27996,13,Electrical & Automation,Sensor Calibration,Framework Agreement
BST-16883,13307,1004,9,Process Optimization,Throughput Analysis,Warranty
BST-16381,37628,9342,18,Mechanical Service,Line Inspection,Warranty
BST-19569,1216,436,1,Electrical & Automation,Sensor Calibration,EMI Finance
BST-10320,68626,-23525,7,Process Optimization,OEE Consulting,Framework Agreement
BST-19432,14470,-2824,19,Electrical & Automation,Control Panel Service,Framework Agreement
BST-16232,56017,12025,20,Electrical & Automation,HMI Replacement,Framework Agreement
BST-17814,27198,1719,18,Process Optimization,Scrap Reduction,Warranty
BST-10096,73781,15118,9,Mechanical Service,Drive Overhaul,Framework Agreement
BST-15763,52683,20324,4,Process Optimization,Yield Improvement,Spot Order
BST-14892,13643,-1849,13,Electrical & Automation,Sensor Calibration,Framework Agreement
BST-16389,7322,-1385,1,Process Optimization,Throughput Analysis,Annual Contract
BST-16865,79175,6759,3,Mechanical Service,Oven Maintenance,Framework Agreement
BST-18818,10990,2846,13,Mechanical Service,Drive Overhaul,Warranty
BST-18947,38048,13758,20,Process Optimization,Throughput Analysis,Annual Contract
BST-19883,58036,-19691,17,Mechanical Service,Oven Maintenance,Framework Agreement
BST-13613,79079,12695,8,Mechanical Service,Line Inspection,EMI Finance
BST-17999,47651,-5277,1,Mechanical Service,Line Inspection,Spot Order
BST-13595,52854,165,13,Mechanical Service,Drive Overhaul,Warranty
BST-14471,68361,-22875,3,Process Optimization,Line Balancing,Annual Contract
BST-17140,73784,41688,12,Process Optimization,Yield Improvement,Framework Agreement
BST-17956,79977,49030,15,Electrical & Automation,Sensor Calibration,Warranty
BST-10475,34723,-6075,17,Process Optimization,OEE Consulting,Annual Contract
BST-16371,66451,-3704,4,Process Optimization,OEE Consulting,EMI Finance
BST-15507,75852,-7574,15,Electrical & Automation,HMI Replacement,Warranty
BST-16624,32386,13196,15,Process Optimization,Scrap Reduction,Warranty
BST-12704,63672,-14882,3,Process Optimization,OEE Consulting,Warranty
BST-17657,30637,13791,14,Process Optimization,Line Balancing,Framework Agreement
BST-12091,1774,622,9,Process Optimization,Throughput Analysis,Spot Order
BST-18751,52788,17087,11,Electrical & Automation,PLC Upgrade,Annual Contract
BST-10441,62963,-2274,7,Process Optimization,Line Balancing,EMI Finance
BST-16455,25425,3788,7,Electrical & Automation,Sensor Calibration,Spot Order
BST-19697,35287,-5053,7,Process Optimization,Line Balancing,Spot Order
BST-19246,20946,8984,4,Process Optimization,Yield Improvement,Annual Contract
BST-10444,80955,-27798,18,Process Optimization,Scrap Reduction,Annual Contract
BST-11375,81852,-2830,19,Electrical & Automation,Control Panel Service,Framework Agreement
BST-17022,67495,-4706,8,Electrical & Automation,Sensor Calibration,EMI Finance
BST-12223,69409,31183,16,Mechanical Service,Line Inspection,EMI Finance
BST-17564,46019,2011,6,Mechanical Service,Frame Repair,Warranty
BST-12977,60802,-2088,1,Mechanical Service,Frame Repair,Annual Contract
BST-10823,50232,11604,11,Process Optimization,Line Balancing,Framework Agreement
BST-14262,25030,4970,8,Process Optimization,Yield Improvement,Framework Agreement
BST-16211,45470,724,16,Electrical & Automation,HMI Replacement,Warranty
BST-15363,49299,743,13,Mechanical Service,Oven Maintenance,Framework Agreement
BST-13467,75395,-16501,19,Electrical & Automation,Sensor Calibration,Spot Order
BST-17449,31407,6449,13,Mechanical Service,Drive Overhaul,Spot Order
BST-15355,62495,28476,6,Mechanical Service,Roll Replacement,Warranty
BST-15529,83160,13888,11,Electrical & Automation,Sensor Calibration,Warranty
BST-16211,74180,37720,2,Electrical & Automation,Control Panel Service,Warranty
BST-14558,8369,-1125,9,Mechanical Service,Roll Replacement,Warranty
BST-16906,59463,23463,9,Process Optimization,OEE Consulting,Framework Agreement
BST-14133,73571,42806,9,Electrical & Automation,HMI Replacement,Framework Agreement
BST-11341,16390,17,20,Mechanical Service,Oven Maintenance,Spot Order
BST-17705,71074,-12470,10,Process Optimization,Throughput Analysis,Framework Agreement
BST-10317,64396,27351,15,Electrical & Automation,HMI Replacement,Annual Contract
BST-18837,38055,4328,5,Electrical & Automation,HMI Replacement,Spot Order
BST-10853,55788,15691,19,Process Optimization,Yield Improvement,Warranty
BST-15733,21733,-138,11,Mechanical Service,Line Inspection,Framework Agreement
BST-13673,35558,9080,13,Process Optimization,Yield Improvement,Framework Agreement
BST-11124,77428,13235,15,Electrical & Automation,Control Panel Service,Warranty
BST-10659,3527,-793,8,Mechanical Service,Roll Replacement,Framework Agreement
BST-10508,28100,-5144,4,Process Optimization,OEE Consulting,Annual Contract
BST-14051,72384,-21438,13,Mechanical Service,Oven Maintenance,EMI Finance
BST-13266,34900,9356,3,Mechanical Service,Line Inspection,Warranty
BST-10333,32926,12761,15,Electrical & Automation,Sensor Calibration,Spot Order
BST-12496,22861,-7348,12,Mechanical Service,Frame Repair,Framework Agreement
BST-13908,71355,41732,18,Electrical & Automation,Drive Tuning,Warranty
BST-12068,23704,5708,15,Mechanical Service,Frame Repair,EMI Finance
BST-17758,84358,24424,10,Electrical & Automation,HMI Replacement,Framework Agreement
BST-11874,30270,13764,15,Electrical & Automation,HMI Replacement,Framework Agreement
BST-19240,34553,-6713,1,Electrical & Automation,Drive Tuning,Annual Contract
BST-13571,45573,-2881,18,Process Optimization,Line Balancing,Annual Contract
BST-17619,63030,-3176,14,Process Optimization,Scrap Reduction,Framework Agreement
BST-14198,1446,286,7,Process Optimization,Line Balancing,Warranty
BST-16043,52240,-5229,13,Process Optimization,Scrap Reduction,Warranty
BST-12749,10882,786,8,Mechanical Service,Drive Overhaul,EMI Finance
BST-19926,37813,11285,18,Process Optimization,Yield Improvement,Framework Agreement
BST-19949,9473,-1587,10,Electrical & Automation,Sensor Calibration,Annual Contract
BST-11876,81467,8372,20,Process Optimization,Scrap Reduction,Warranty
BST-12683,3042,-601,18,Mechanical Service,Drive Overhaul,Annual Contract
BST-15096,37477,-3028,15,Mechanical Service,Line Inspection,Annual Contract
BST-11771,20250,-6789,7,Mechanical Service,Line Inspection,Framework Agreement
BST-19481,65825,42652,15,Electrical & Automation,Control Panel Service,Annual Contract
BST-10420,19648,-5775,13,Electrical & Automation,PLC Upgrade,Annual Contract
BST-15111,24303,-3835,9,Process Optimization,Scrap Reduction,Warranty
BST-19433,33131,1152,15,Mechanical Service,Line Inspection,Spot Order
BST-16149,26606,2948,4,Process Optimization,OEE Consulting,EMI Finance
BST-16498,62474,2444,10,Process Optimization,Line Balancing,Framework Agreement
BST-13249,72534,12397,9,Mechanical Service,Line Inspection,Warranty
BST-11245,26547,276,2,Process Optimization,Yield Improvement,Spot Order
BST-19700,83456,7023,1,Mechanical Service,Roll Replacement,Spot Order
BST-13978,16182,741,8,Electrical & Automation,HMI Replacement,Annual Contract
BST-11669,62794,21249,5,Mechanical Service,Frame Repair,Framework Agreement
BST-14941,21169,3173,20,Mechanical Service,Roll Replacement,Framework Agreement
BST-19837,8334,45,5,Process Optimization,OEE Consulting,EMI Finance
BST-11983,64442,-7560,18,Mechanical Service,Roll Replacement,Framework Agreement
BST-19272,3298,1118,12,Electrical & Automation,Sensor Calibration,Spot Order
BST-10672,64109,22862,18,Electrical & Automation,PLC Upgrade,Framework Agreement
BST-15688,25374,5498,18,Process Optimization,Scrap Reduction,Framework Agreement
BST-18728,36587,18939,20,Electrical & Automation,Drive Tuning,EMI Finance
BST-17018,70117,-13671,10,Mechanical Service,Line Inspection,Framework Agreement
BST-16071,60017,-20962,17,Process Optimization,Yield Improvement,Warranty
BST-11129,2953,796,12,Process Optimization,Line Balancing,EMI Finance
BST-18289,8802,2713,18,Mechanical Service,Drive Overhaul,Warranty
BST-15590,65714,27319,5,Mechanical Service,Frame Repair,EMI Finance
BST-10207,54213,15770,4,Electrical & Automation,Control Panel Service,Annual Contract
BST-16882,6237,3026,5,Process Optimization,OEE Consulting,Spot Order
BST-18031,14531,1967,4,Mechanical Service,Roll Replacement,Annual Contract
BST-11729,64713,11377,19,Process Optimization,Scrap Reduction,Framework Agreement
BST-17102,29430,7532,3,Mechanical Service,Drive Overhaul,Annual Contract
BST-15934,10980,1296,2,Mechanical Service,Oven Maintenance,Framework Agreement
BST-17532,48874,21712,2,Process Optimization,Scrap Reduction,EMI Finance
BST-12506,5828,2239,10,Electrical & Automation,HMI Replacement,Annual Contract
BST-17135,13229,-3291,8,Mechanical Service,Frame Repair,EMI Finance
BST-12885,25812,4547,8,Electrical & Automation,Sensor Calibration,EMI Finance
BST-18548,73693,29417,14,Process Optimization,Line Balancing,Annual Contract
BST-14425,47418,15386,14,Process Optimization,Throughput Analysis,Annual Contract
BST-18817,72585,3742,11,Mechanical Service,Roll Replacement,Spot Order
BST-17921,58566,34174,11,Process Optimization,Throughput Analysis,EMI Finance
BST-17616,54546,22592,14,Electrical & Automation,Control Panel Service,Framework Agreement
BST-17136,74312,14537,13,Process Optimization,Line Balancing,EMI Finance
BST-19707,47687,29167,15,Process Optimization,Yield Improvement,Warranty
BST-14397,37787,9286,17,Mechanical Service,Line Inspection,Spot Order
BST-15280,39865,25290,7,Electrical & Automation,PLC Upgrade,Framework Agreement
BST-14022,73069,11783,19,Mechanical Service,Drive Overhaul,EMI Finance
BST-11419,5446,601,5,Mechanical Service,Line Inspection,Spot Order
BST-14569,76804,-7691,9,Electrical & Automation,Control Panel Service,Framework Agreement
BST-17385,52902,11588,7,Mechanical Service,Frame Repair,Annual Contract
BST-13995,63746,-11289,19,Process Optimization,Yield Improvement,Annual Contract
BST-17613,5398,2055,19,Process Optimization,Yield Improvement,Warranty
BST-19336,44329,-91,14,Mechanical Service,Line Inspection,Warranty
BST-19999,79444,45970,13,Mechanical Service,Roll Replacement,Annual Contract
BST-16209,5897,-180,19,Electrical & Automation,HMI Replacement,Spot Order
BST-15511,29440,-5793,13,Electrical & Automation,HMI Replacement,Warranty
BST-10470,66655,-17324,14,Process Optimization,Throughput Analysis,Framework Agreement
BST-18098,17826,-246,16,Electrical & Automation,Sensor Calibration,EMI Finance
BST-15325,72347,3558,3,Process Optimization,OEE Consulting,Warranty
BST-12979,17588,7246,16,Process Optimization,Scrap Reduction,EMI Finance
BST-17988,52315,15812,7,Mechanical Service,Oven Maintenance,EMI Finance
BST-13475,32775,-3529,9,Process Optimization,Throughput Analysis,Warranty
BST-15813,12243,-2907,14,Electrical & Automation,HMI Replacement,Warranty
BST-14232,25467,-745,20,Electrical & Automation,Control Panel Service,Annual Contract
BST-15576,46338,12336,15,Electrical & Automation,Sensor Calibration,EMI Finance
BST-14581,6382,3664,8,Mechanical Service,Oven Maintenance,Spot Order
BST-19767,20946,8540,3,Process Optimization,Yield Improvement,Annual Contract
BST-14526,32356,19379,5,Process Optimization,OEE Consulting,Framework Agreement
BST-19106,15085,-677,16,Mechanical Service,Drive Overhaul,Annual Contract
BST-10166,71017,-9809,18,Electrical & Automation,Sensor Calibration,EMI Finance
BST-18464,63811,17423,5,Electrical & Automation,HMI Replacement,Annual Contract
BST-13130,69548,-21317,6,Electrical & Automation,HMI Replacement,Annual Contract
BST-11402,81497,-6415,15,Electrical & Automation,Sensor Calibration,Annual Contract
BST-13954,36061,11286,12,Mechanical Service,Oven Maintenance,Annual Contract
BST-16658,51162,-6079,13,Mechanical Service,Drive Overhaul,EMI Finance
BST-18004,41847,5635,20,Process Optimization,OEE Consulting,EMI Finance
BST-19096,26566,4002,15,Mechanical Service,Roll Replacement,EMI Finance
BST-13937,5710,-585,17,Process Optimization,OEE Consulting,Framework Agreement
BST-17800,52063,20533,1,Electrical & Automation,Drive Tuning,Framework Agreement
BST-18041,47080,12957,8,Process Optimization,Yield Improvement,EMI Finance
BST-17342,82523,-7618,13,Electrical & Automation,PLC Upgrade,Annual Contract
BST-10282,30067,-5962,13,Process Optimization,Yield Improvement,Spot Order
BST-11524,68751,41979,20,Mechanical Service,Oven Maintenance,Spot Order
BST-14820,75590,-14910,10,Electrical & Automation,Sensor Calibration,EMI Finance
BST-13630,71571,-15618,5,Electrical & Automation,Drive Tuning,EMI Finance
BST-16625,18602,-762,17,Process Optimization,Line Balancing,Spot Order
BST-13986,74535,42269,11,Electrical & Automation,Sensor Calibration,Annual Contract
BST-15016,16017,-2656,5,Process Optimization,Throughput Analysis,Annual Contract
BST-19528,54403,-2538,9,Electrical & Automation,Drive Tuning,Spot Order
BST-16046,17741,-2931,20,Mechanical Service,Line Inspection,EMI Finance
BST-17753,74823,19630,20,Electrical & Automation,HMI Replacement,Spot Order
BST-19068,47589,-12873,16,Mechanical Service,Line Inspection,Spot Order
BST-18698,61941,22423,12,Process Optimization,Throughput Analysis,Spot Order
BST-15632,62608,-13303,7,Electrical & Automation,Drive Tuning,Spot Order
BST-16971,2467,1419,14,Mechanical Service,Oven Maintenance,Spot Order
BST-19017,27312,-7752,15,Process Optimization,Line Balancing,EMI Finance
BST-15419,60471,32508,14,Electrical & Automation,Control Panel Service,Warranty
BST-15764,50356,18641,13,Mechanical Service,Frame Repair,EMI Finance
BST-17434,78331,14582,2,Process Optimization,Throughput Analysis,EMI Finance
